timestamp;session;current;volt;soc;mwh;mode;charge phase;charge time;temperature;fault flags;flags;charge limit;startup count;harge profile
10626.963;4239;0.723;5.17;62;707303;1;0;0;30.8;0;7;85
10637.965;;1.063;;;;;;;;;;;;
10667.963;;1.046;;;;;;;;;;;;
10678.965;;1.067;;;;;;;;;;;;
10779.965;;0.413;;;;;;;;;;;;
10790.963;;0.524;;;;;;;;;;;;
10795.965;4239;0.006;5.27;62;707541;1;0;0;29.8;0;7;85
10796.966;4239;0.495;8.49;62;707541;1;0;0;30.8;0;7;85
10799.965;4239;0.669;8.66;62;707545;1;0;0;30.8;0;7;85
10802.964;4239;0.725;5.17;62;707549;1;0;0;30.8;0;7;85
10813.965;;1.060;;;;;;;;;;;;
10850.965;;1.079;;;;;;;;;;;;
10851.963;4239;1.077;5.11;63;707620;1;0;0;30.8;0;7;85
10866.965;;1.063;;;;;;;;;;;;
10877.963;;1.077;;;;;;;;;;;;
10888.963;;1.060;;;;;;;;;;;;
10958.965;;1.074;;;;;;;;;;;;
10970.965;;1.059;;;;;;;;;;;;
10981.963;;1.074;;;;;;;;;;;;
11014.963;;1.058;;;;;;;;;;;;
11025.965;;1.075;;;;;;;;;;;;
11054.963;;1.064;;;;;;;;;;;;
11068.963;;1.078;;;;;;;;;;;;
11082.965;;1.066;;;;;;;;;;;;
11093.965;;1.078;;;;;;;;;;;;
11104.965;;0.988;;;;;;;;;;;;
11115.963;;1.081;;;;;;;;;;;;
11124.963;4239;1.066;5.12;64;708034;1;0;0;30.8;0;7;85
11135.965;;1.081;;;;;;;;;;;;
11151.965;;1.069;;;;;;;;;;;;
11162.963;;1.052;;;;;;;;;;;;
11184.963;;1.065;;;;;;;;;;;;
11249.965;;1.078;;;;;;;;;;;;
11262.965;;1.061;;;;;;;;;;;;
11274.965;;1.081;;;;;;;;;;;;
11287.965;;1.067;;;;;;;;;;;;
11365.965;4239;1.065;5.12;65;708397;1;0;0;30.8;0;7;85
11384.966;;1.078;;;;;;;;;;;;
11395.964;;1.062;;;;;;;;;;;;
11411.963;;1.073;;;;;;;;;;;;
11438.963;;1.060;;;;;;;;;;;;
11462.966;;1.072;;;;;;;;;;;;
11493.964;;1.045;;;;;;;;;;;;
11504.963;;1.061;;;;;;;;;;;;
11515.963;;1.078;;;;;;;;;;;;
11526.965;;1.067;;;;;;;;;;;;
11537.965;;1.080;;;;;;;;;;;;
11548.963;;1.062;;;;;;;;;;;;
11575.963;;1.076;;;;;;;;;;;;
11593.963;4239;1.069;5.11;66;708742;1;0;0;30.8;0;7;85
11611.963;;1.057;;;;;;;;;;;;
11628.963;;1.069;;;;;;;;;;;;
11668.963;;1.081;;;;;;;;;;;;
11679.963;;1.066;;;;;;;;;;;;
11693.963;;1.078;;;;;;;;;;;;
11736.965;;1.064;;;;;;;;;;;;
11747.963;;1.079;;;;;;;;;;;;
11758.963;;1.061;;;;;;;;;;;;
11771.963;;1.079;;;;;;;;;;;;
11782.965;;1.066;;;;;;;;;;;;
11794.965;;1.079;;;;;;;;;;;;
11805.965;;1.066;;;;;;;;;;;;
11821.965;;1.079;;;;;;;;;;;;
11832.963;;1.061;;;;;;;;;;;;
11833.965;4239;1.063;5.11;67;709107;1;0;0;30.8;0;7;85
11851.965;;1.081;;;;;;;;;;;;
11862.963;;1.044;;;;;;;;;;;;
11873.965;;1.072;;;;;;;;;;;;
11884.965;;1.052;;;;;;;;;;;;
11897.965;;1.064;;;;;;;;;;;;
11946.965;;1.052;;;;;;;;;;;;
11959.963;;1.066;;;;;;;;;;;;
11975.963;;1.050;;;;;;;;;;;;
11986.963;;1.065;;;;;;;;;;;;
12036.965;;1.050;;;;;;;;;;;;
12047.963;;1.063;;;;;;;;;;;;
12062.963;;1.077;;;;;;;;;;;;
12073.965;;1.066;;;;;;;;;;;;
12089.965;;1.078;;;;;;;;;;;;
12119.963;;1.060;;;;;;;;;;;;
12130.965;;1.078;;;;;;;;;;;;
12144.965;;1.062;;;;;;;;;;;;
12152.963;4239;1.075;5.11;68;709588;1;0;0;29.8;0;7;85
12176.963;;1.063;;;;;;;;;;;;
12188.963;;1.075;;;;;;;;;;;;
12218.965;;1.061;;;;;;;;;;;;
12231.965;;1.076;;;;;;;;;;;;
12323.965;;1.059;;;;;;;;;;;;
12334.965;;1.081;;;;;;;;;;;;
12346.963;;1.042;;;;;;;;;;;;
12357.963;;1.066;;;;;;;;;;;;
12370.963;;1.078;;;;;;;;;;;;
12391.965;4239;1.067;5.12;69;709952;1;0;0;29.8;0;7;85
12402.963;;1.078;;;;;;;;;;;;
12427.963;;1.066;;;;;;;;;;;;
12438.963;;1.081;;;;;;;;;;;;
12453.965;;1.069;;;;;;;;;;;;
12484.963;;1.081;;;;;;;;;;;;
12515.965;;1.070;;;;;;;;;;;;
12526.965;;1.081;;;;;;;;;;;;
12554.963;;1.067;;;;;;;;;;;;
12565.963;;1.079;;;;;;;;;;;;
12576.965;;1.065;;;;;;;;;;;;
12587.963;;1.081;;;;;;;;;;;;
12622.965;;1.069;;;;;;;;;;;;
12629.963;4239;1.081;5.11;70;710315;1;0;0;29.8;0;7;85
12646.968;;1.066;;;;;;;;;;;;
12657.963;;1.079;;;;;;;;;;;;
12671.964;;1.061;;;;;;;;;;;;
12682.963;;1.077;;;;;;;;;;;;
12698.963;;1.064;;;;;;;;;;;;
12711.965;;1.076;;;;;;;;;;;;
12726.965;;1.065;;;;;;;;;;;;
12760.963;;1.081;;;;;;;;;;;;
12821.963;;1.063;;;;;;;;;;;;
12832.963;;1.079;;;;;;;;;;;;
12868.963;4239;1.078;5.11;71;710676;1;0;0;29.8;0;7;85
12881.963;;1.064;;;;;;;;;;;;
12915.966;;1.051;;;;;;;;;;;;
12944.963;;1.064;;;;;;;;;;;;
12977.963;;1.048;;;;;;;;;;;;
12988.963;;1.060;;;;;;;;;;;;
13034.963;;1.075;;;;;;;;;;;;
13045.963;;1.062;;;;;;;;;;;;
13101.963;;1.075;;;;;;;;;;;;
13112.965;;1.055;;;;;;;;;;;;
13130.965;4239;1.057;5.11;72;711071;1;0;0;29.8;0;7;85
13205.963;;1.044;;;;;;;;;;;;
13216.965;;1.069;;;;;;;;;;;;
13229.963;;1.056;;;;;;;;;;;;
13246.965;;1.069;;;;;;;;;;;;
13283.964;;1.025;;;;;;;;;;;;
13294.963;;1.079;;;;;;;;;;;;
13314.963;;0.731;;;;;;;;;;;;
13325.963;;1.081;;;;;;;;;;;;
13336.963;;0.733;;;;;;;;;;;;
13340.965;4239;0.734;5.16;73;711374;1;0;0;29.8;0;7;86
13351.965;;1.082;;;;;;;;;;;;
13362.963;;0.734;;;;;;;;;;;;
13373.966;;1.080;;;;;;;;;;;;
13394.965;;0.734;;;;;;;;;;;;
13405.965;;1.082;;;;;;;;;;;;
13416.965;;0.723;;;;;;;;;;;;
13427.965;;1.080;;;;;;;;;;;;
13438.963;;0.730;;;;;;;;;;;;
13446.963;4239;1.081;5.11;74;711511;1;0;0;29.8;0;7;86
13457.963;;0.733;;;;;;;;;;;;
13468.965;;1.080;;;;;;;;;;;;
13479.963;;0.733;;;;;;;;;;;;
13490.966;;1.067;;;;;;;;;;;;
13504.963;;0.728;;;;;;;;;;;;
13515.965;;1.069;;;;;;;;;;;;
13526.965;;0.731;;;;;;;;;;;;
13537.963;;1.080;;;;;;;;;;;;
13548.965;;0.732;;;;;;;;;;;;
13559.964;;1.081;;;;;;;;;;;;
13570.965;;0.734;;;;;;;;;;;;
13581.965;;1.077;;;;;;;;;;;;
13592.963;;0.733;;;;;;;;;;;;
13603.963;;1.064;;;;;;;;;;;;
13617.965;;1.078;;;;;;;;;;;;
13628.965;;0.730;;;;;;;;;;;;
13639.965;;1.081;;;;;;;;;;;;
13650.965;;0.733;;;;;;;;;;;;
13661.963;;1.084;;;;;;;;;;;;
13672.963;;0.731;;;;;;;;;;;;
13683.963;;1.079;;;;;;;;;;;;
13684.963;4239;0.744;5.16;75;711820;1;0;0;29.8;0;7;86
13695.963;;1.084;;;;;;;;;;;;
13706.963;;0.731;;;;;;;;;;;;
